PDF,RelativePath,Status,TotalPages,PagesCreated,PagesSkipped,PagesFailed,DPI,JPEGQuality,Seconds,Error
525NKLS5__Beale - 2008 - Abraham Obama by Ron English.pdf,525NKLS5__Beale - 2008 - Abraham Obama by Ron English.pdf,Completed,1,1,0,0,200,90,0.2,
"53BS4VIR__Art - 2015 - 50 Ways To Map The City, Per Street And Graffiti Artists.pdf","53BS4VIR__Art - 2015 - 50 Ways To Map The City, Per Street And Graffiti Artists.pdf",Completed,6,6,0,0,200,90,1.23,
53CPDVJZ__Staff - 2014 - Ron English Evolutionary Alternatives @ Tribeca Grand Hotel.pdf,53CPDVJZ__Staff - 2014 - Ron English Evolutionary Alternatives @ Tribeca Grand Hotel.pdf,Completed,1,1,0,0,200,90,0.26,
53HP3RPR__Juxtapoz - 2002 - Ron English A One-Man Popaganda Machine.pdf,53HP3RPR__Juxtapoz - 2002 - Ron English A One-Man Popaganda Machine.pdf,Completed,6,6,0,0,200,90,4.86,
53KU358Z__Galperina - 2011 - Ron English Killed Kenny.pdf,53KU358Z__Galperina - 2011 - Ron English Killed Kenny.pdf,Completed,1,1,0,0,200,90,0.2,
54HITLYH__Trippe - 2008 - Ron English @ Shooting Gallery.pdf,54HITLYH__Trippe - 2008 - Ron English @ Shooting Gallery.pdf,Completed,9,9,0,0,200,90,1.65,
54PPN253___.pdf,54PPN253___.pdf,Completed,1,1,0,0,200,90,0.33,
55YTYGGH__NSS Magazine - 2019 - A large collective exhibition celebrates Hello Kitty's 45th birthday.pdf,55YTYGGH__NSS Magazine - 2019 - A large collective exhibition celebrates Hello Kitty's 45th birthday.pdf,Completed,2,2,0,0,200,90,0.6,
56ET463H___.pdf,56ET463H___.pdf,Completed,2,2,0,0,200,90,0.87,
"56V7EK53__Yuddy - 2007 - Pop Art, Kiss Style.pdf","56V7EK53__Yuddy - 2007 - Pop Art, Kiss Style.pdf",Completed,1,1,0,0,200,90,0.88,
57JQIWRH___.pdf,57JQIWRH___.pdf,Completed,1,1,0,0,200,90,0.54,
57XNPJCI__Juggernut3 - 2010 - Openings “Family Tradition” curated by Ron English @ TT Underground Gallery.pdf,57XNPJCI__Juggernut3 - 2010 - Openings “Family Tradition” curated by Ron English @ TT Underground Gallery.pdf,Completed,2,2,0,0,200,90,0.53,
598XDS2D___.pdf,598XDS2D___.pdf,Completed,1,1,0,0,200,90,0.39,
59HBXUZ3__Amaze Magazine - 2021 - Ron English talks to Amaze Magazine.pdf,59HBXUZ3__Amaze Magazine - 2021 - Ron English talks to Amaze Magazine.pdf,Completed,1,1,0,0,200,90,0.4,
5AHERAT7___.pdf,5AHERAT7___.pdf,Completed,4,4,0,0,200,90,1.88,
5BQHZLBG__Corey Helford Gallery - 2011 - Combrats Raptor Reconnaissance By Ron English.pdf,5BQHZLBG__Corey Helford Gallery - 2011 - Combrats Raptor Reconnaissance By Ron English.pdf,Completed,1,1,0,0,200,90,0.18,
5BVZ4YID__1991 - Title Long Shot Vol 12.pdf,5BVZ4YID__1991 - Title Long Shot Vol 12.pdf,Completed,3,3,0,0,200,90,0.49,
5C9GSW55__Uberaura - 2016 - Ron English US Food and “Popaganda”.pdf,5C9GSW55__Uberaura - 2016 - Ron English US Food and “Popaganda”.pdf,Completed,3,3,0,0,200,90,0.67,
